Country Name,Country Code,Time,Time Code,Access to Clean Fuels and Technologies for cooking (% of total population) [2.1_ACCESS.CFT.TOT],Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy consumption (TJ) [3.1_RE.CONSUMPTION],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM]
Lao PDR,LAO,2006,YR2006,4.56,42.5842961565669,57.0410587037665,94.1318814277072,4.09018823632922,3595.8,100,58880.77,72.9963562009633,4134.1843,80662.61532
Lao PDR,LAO,2007,YR2007,4.55,47.4709242165351,61.9792442321777,96.3402252197266,3.52314472475102,3373.6,100,59614.41,72.2198777703148,3862.9569,82545.7088
Lao PDR,LAO,2008,YR2008,4.79000000000001,53,66,99,3.31856196978629,3717,100,60394.57,69.0607146318837,4171.6647,87451.41188
Lao PDR,LAO,2009,YR2009,4.73,53.8089850236289,67.4694671630859,96.5180053710938,3.14769838636543,3384.3,100,62311.65,66.8227414544118,3874.3152,93249.16734
Lao PDR,LAO,2010,YR2010,4.83,57.1771955945241,70.2431106567383,96.6238555908203,3.00056298404235,8449,100,73471.19,71.5085793947307,3755.063,102744.580611
Lao PDR,LAO,2011,YR2011,5.04,56.0702736018781,70,96.7386322021484,2.71189700116424,12980.1,100,72310.61,66.2695521000416,3802.47,109115.8876264
Lao PDR,LAO,2012,YR2012,5.13,68.3863885839737,76.3666277465237,97.4309445624879,2.51121060752739,12760.1,100,73025.98,63.3466578185902,3802.47,115279.9255947
Lao PDR,LAO,2013,YR2013,5.22,68.1111053573921,78.6421585083008,96.9878311157227,2.50492302855265,15506.2,99.9651873436654,73224.57,60.6815317371727,4471,120670.2729871
Lao PDR,LAO,2014,YR2014,5.42,72.0409109799759,81.4578628540039,97.1186752319336,2.30241041586574,15633.3,99.9667487290981,73247,60.4741411934053,4380,121121.1909
Lao PDR,LAO,2015,YR2015,5.54,83.04169721313,89.7,97.8,5.17189025046944,14252,86.3699995757859,72479.65,59.3158607506634,16501.1,122192.697
Lao PDR,LAO,2016,YR2016,5.62,80.3351114105026,87.0957717895508,97.3842391967773,..,..,..,..,..,..,..
"Macao SAR, China",MAC,1990,YR1990,..,..,..,..,1.17297761107691,0,0,59,0.660982960083351,790,8926.1
"Macao SAR, China",MAC,1991,YR1991,..,..,..,..,1.20111886125882,0,0,59,0.649200602986323,889,9088.1
"Macao SAR, China",MAC,1992,YR1992,..,..,..,..,1.0578936493259,0,0,59,0.602446545632773,992,9793.4
"Macao SAR, China",MAC,1993,YR1993,..,..,..,..,1.0975450551862,0,0,59,0.551479179324204,1190,10698.5
"Macao SAR, China",MAC,1994,YR1994,..,100,100,100,1.13362077882132,0,0,59,0.520580579697357,1254,11333.5
"Macao SAR, China",MAC,1995,YR1995,..,100,100,100,1.07750472956188,0,0,59,0.501743345522578,1272,11759
"Macao SAR, China",MAC,1996,YR1996,..,100,100,100,1.23820502215431,0,0,59,0.414436436689566,1372,14236.2
"Macao SAR, China",MAC,1997,YR1997,..,..,100,100,1.31791076481259,0,0,29.5,0.19080019662122,1409,15461.2
"Macao SAR, China",MAC,1998,YR1998,..,..,100,100,1.43204631151869,0,0,29.5,0.194542265131431,1539,15163.8
"Macao SAR, China",MAC,1999,YR1999,..,..,100,100,1.4389351983864,0,0,29.5,0.192829362355787,1532,15298.5
"Macao SAR, China",MAC,2000,YR2000,..,..,100,100,1.46238213304455,0,0,29.5,0.177456417906856,1571,16623.8
"Macao SAR, China",MAC,2001,YR2001,..,..,100,100,1.35333525774832,0,0,2819.5,16.9742030643268,1566,16610.5
"Macao SAR, China",MAC,2002,YR2002,..,..,100,100,1.13457837715586,0,0,3086.834,22.8542490356804,1701,13506.60875
"Macao SAR, China",MAC,2003,YR2003,..,..,100,100,1.02339590199567,0,0,3215.984,23.4208119455474,1796,13731.30875
"Macao SAR, China",MAC,2004,YR2004,..,..,100,100,0.896604227676006,0,0,3481.284,23.4968526758351,1973,14815.95875
"Macao SAR, China",MAC,2005,YR2005,..,..,100,100,0.906361766732085,0,0,3912.584,23.3096436478824,2027,16785.25875
"Macao SAR, China",MAC,2006,YR2006,..,..,100,100,0.785525683462062,0,0,4389.584,23.6374559136833,1669,18570.45875
"Macao SAR, China",MAC,2007,YR2007,..,..,100,100,0.724593148449291,0,0,730.1404,4.19896416233438,1520,17388.58375
"Macao SAR, China",MAC,2008,YR2008,..,..,100,100,0.704869769884092,0,0,915.9475,4.7697441329533,1211,19203.28375
"Macao SAR, China",MAC,2009,YR2009,..,..,100,100,0.928279753360362,0,0,893.8324,3.2164393026143,1466,27789.5
"Macao SAR, China",MAC,2010,YR2010,..,..,100,100,0.627767842827193,0,0,1371.842,5.8118801394673,1077,23604.1
"Macao SAR, China",MAC,2011,YR2011,..,..,100,100,0.527177719830362,0,0,1443.469,5.51325348142603,886,26181.8
"Macao SAR, China",MAC,2012,YR2012,..,..,100,100,0.48501553195675,0,0,2743.223,9.86682132901718,561,27802.5
"Macao SAR, China",MAC,2013,YR2013,..,..,100,100,0.426175060295184,0,0,3957.363,14.4230857542724,413,27437.7
"Macao SAR, China",MAC,2014,YR2014,..,..,100,100,0.460209318490705,0,0,2930.667,10.0204706155887,641,29246.8
"Macao SAR, China",MAC,2015,YR2015,..,..,100,100,0.657095507447482,0,0,2406.327,7.0513630489631,962,34125.7
"Macao SAR, China",MAC,2016,YR2016,..,..,100,100,..,..,..,..,..,..,..
Malaysia,MYS,1990,YR1990,..,91.8272367713591,93.9550399780273,96.1004486083984,4.80277832334301,3989,17.3314216197428,65569.34,11.980543608873,23016,547298.537868
Malaysia,MYS,1991,YR1991,..,92.2479809376929,94.2970886230469,96.2995223999023,5.40923063551117,4408,16.6013859596264,66338.37,11.1534355235474,26552,594779.696892
Malaysia,MYS,1992,YR1992,..,92.6387963271651,94.6386260986328,96.4984283447266,5.47731171188343,4361,14.8743135850472,67174.46,10.2662172738824,29319,654325.329456
Malaysia,MYS,1993,YR1993,..,93.0299288339715,94.9771041870117,96.6963043212891,5.38958398548126,4873,14.0274619303952,68397.52,10.0258519116095,34739,682211.552724
Malaysia,MYS,1994,YR1994,..,93.4212385310318,95.3094635009765,96.8921127319336,4.90963527456795,6524,16.6854219948849,74740.16,9.92592691217369,39100,752979.149064
Malaysia,MYS,1995,YR1995,..,93.8076454296576,95.6326446533203,97.084831237793,4.83656303194294,6222,13.6861554705028,73894.76,9.02961384827698,45462,818360.134128
Malaysia,MYS,1996,YR1996,..,94.183002848418,95.9435882568359,97.2734298706055,4.86524705311517,5187,10.0882993620663,70970.44,7.47308267129816,51416,949680.916452
Malaysia,MYS,1997,YR1997,..,94.541285310661,96.2392349243164,97.4568710327148,5.27605481875812,3873,6.69108373788504,67487.84,6.70558722177825,57883,1006441.908336
Malaysia,MYS,1998,YR1998,..,94.8748998538446,96.5165328979492,97.6341323852539,5.41374248680777,4855,7.99690336182899,70717.57,7.16784032044907,60711,986595.220296
Malaysia,MYS,1999,YR1999,..,95.1760211995169,96.7724151611328,97.8041763305664,5.1669541990239,7525,11.5355724863183,78749.53,7.34271482331671,65233,1072485.203292
Malaysia,MYS,2000,YR2000,94.53,95.438465300523,97.0053405761719,97.9666213989258,5.41281799476531,6966,10.0584795321637,77688.68,6.74350372428677,69255,1152052.155324
Malaysia,MYS,2001,YR2001,94.99,95.6894516017486,97.2198638916015,98.1216888427734,5.60410233693281,7058,9.92909796860053,78901.49,6.47848891097353,71084,1217899.591776
Malaysia,MYS,2002,YR2002,95.28,95.9094695306172,97.4220352172852,98.2781829833984,5.49639183773907,5305,7.14487737208582,73426.85,5.71659094008999,74249,1284451.708536
Malaysia,MYS,2003,YR2003,95.58,96.1152764466896,97.6179275512695,98.4348983764649,5.56657375108045,5056,6.44330882259236,72731.22,5.41355738129154,78469,1343501.41464
Malaysia,MYS,2004,YR2004,95.87,96.3179370814344,97.813591003418,98.5946350097656,5.60613957549311,5831,7.08643235622964,75372.46,5.16903972109979,82284,1458152.075952
Malaysia,MYS,2005,YR2005,96.03,96.5564475812539,98.0240097045898,98.7601928710937,5.77325258814497,5192,6.28016401969204,73871.23,4.92452509799416,82673,1500068.098548
Malaysia,MYS,2006,YR2006,96.32,96.8043290539806,98.2416687011719,98.9342575073242,5.49788571414464,6443,7.17243682511411,77614.74,4.99439945222873,89830,1554035.49
Malaysia,MYS,2007,YR2007,96.34,97.0860556836907,98.4757995605469,99.1190338134766,5.66366855986573,6491,6.65634357438779,78111.83,4.55770754655618,97516,1713840.328764
Malaysia,MYS,2008,YR2008,96.46,97.4100957300989,98.729248046875,99.3156967163086,5.64757100865422,7461,7.62875635218454,82560.1,4.72913448564459,97801,1745776.108728
Malaysia,MYS,2009,YR2009,96.43,98,99.3,99.9,5.44861746893875,8127,7.00585329689749,64523.59,4.23012405000452,116003,1525335.645888
Malaysia,MYS,2010,YR2010,96.47,98.245885650111,99.2892303466797,99.7172088623047,5.17775710479189,7478,5.99265943294921,62011.27,3.81904229491699,124786,1623738.759912
Malaysia,MYS,2011,YR2011,96.56,98.7960010219763,99.5673446655273,99.8712692260742,5.12751727114068,8680,6.71436859408238,65456.66,4.10776296381475,129275,1593486.785304
Malaysia,MYS,2012,YR2012,96.62,99.3,99.8,99.9,4.94677567651701,9922,7.38348427233016,73831.07,4.41031060617694,134381,1674056.015388
Malaysia,MYS,2013,YR2013,96.49,99.7548916126713,99.9291381835938,99.9926605224609,5.32762479195132,11867,8.57764477983057,83667.99,4.48629964495982,138348,1864966.601016
Malaysia,MYS,2014,YR2014,96.38,99.9442783278316,99.9851226806641,99.9994659423828,5.13496071863633,14316,9.70780299588388,94009.52,4.76977363667669,147469,1970943.00822
Malaysia,MYS,2015,YR2015,96.3,99.9944200909323,99.9985885620117,100,4.68220513581964,14948,9.95716845520007,99297.57,5.19444258901529,150123,1911611.65608
Malaysia,MYS,2016,YR2016,96.3,100,100,100,..,..,..,..,..,..,..
Mongolia,MNG,1990,YR1990,..,25.7868898058248,68.1128387451172,100,12.7542727821153,0,0,2199.452,1.89262442952202,3348,116211.75156
Mongolia,MNG,1991,YR1991,..,27.2307753952902,68.6997756958008,100,15.6375617361745,0,0,2199.452,1.96959020783607,3229,111670.53894
Mongolia,MNG,1992,YR1992,..,28.6687513336906,69.2861938476563,100,15.0839505127299,0,0,2230.266,2.40016888682143,2929,92921.21118
Mongolia,MNG,1993,YR1993,..,30.1006605768053,69.8695602416992,99.9982070922852,14.5695528063925,0,0,2261.039,2.67180483048768,2582,84625.90434
Mongolia,MNG,1994,YR1994,..,31.5299213975004,70.4468002319336,99.9840774536133,12.3358110180928,0,0,2261.039,3.04339554324676,2715,74293.30062
Mongolia,MNG,1995,YR1995,..,32.9845082536114,71.0148696899414,99.933479309082,11.5688323205792,0,0,2261.039,3.0093382188638,2628,75134.093796
